% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.041	1	1	1	5324.57	0
0.081	1	1	1	5324.57	0
0.121	1	1	1	5324.57	0
0.161	1	1	1	5324.57	0
0.201	1	1	1	5324.57	0
0.241	1	1	1	5324.57	0
0.281	1	1	1	5324.57	0
0.321	1	1	1	5324.57	0
0.361	1	1	1	5324.57	0
0.401	1	1	1	5324.57	0
0.441	1	1	1	5324.57	0
0.481	1	1	1	5324.57	0
0.521	1	1	1	5324.57	0
0.561	1	1	1	5324.57	0
0.601	1	1	1	5324.57	0
0.641	1	1	1	5324.57	0
0.681	1	1	1	5324.57	0
0.721	1	1	1	5324.57	0
0.761	1	1	1	5324.57	0
0.801	1	1	1	5324.57	0
0.841	1	1	1	5324.57	0
0.881	1	1	1	5324.57	0
0.921	1	1	1	5324.57	0
0.961	1	1	1	5324.57	0
1.001	1	1	1	5324.57	0
1.041	1	1	1	5324.57	0
1.081	1	1	1	5324.57	0
1.121	1	1	1	5324.57	0
1.161	1	1	1	5324.57	0
1.201	1	1	1	5324.57	0
1.241	1	1	1	5324.57	0
1.281	1	1	1	5324.57	0
1.321	1	1	1	5324.57	0
1.361	1	1	1	5324.57	0
1.401	1	1	1	5324.57	0
1.441	1	1	1	5324.57	0
1.481	1	1	1	5324.57	0
1.521	1	1	1	5324.57	0
1.561	1	1	1	5324.57	0
1.601	1	1	1	5324.57	0
1.641	1	1	1	5324.57	0
1.681	1	1	1	5324.57	0
1.721	1	1	1	5324.57	0
1.761	1	1	1	5324.57	0
1.801	1	1	1	5324.57	0
1.841	1	1	1	5324.57	0
1.881	1	1	1	5324.57	0
1.921	1	1	1	5324.57	0
1.961	1	1	1	5324.57	0
2.001	1	1	1	5324.57	0
2.041	1	1	1	5324.57	0
2.081	1	1	1	5324.57	0
2.121	1	1	1	5324.57	0
2.161	1	1	1	5324.57	0
2.201	1	1	1	5324.57	0
2.241	1	1	1	5324.57	0
2.281	1	1	1	5324.57	0
2.321	1	1	1	5324.57	0
2.361	1	1	1	5324.57	0
2.401	1	1	1	5324.57	0
2.441	1	1	1	5324.57	0
2.481	1	1	1	5324.57	0
2.521	1	1	1	5324.57	0
2.561	1	1	1	5324.57	0
2.601	1	1	1	5324.57	0
2.641	1	1	1	5324.57	0
2.681	1	1	1	5324.57	0
2.721	1	1	1	5324.57	0
2.761	1	1	1	5324.57	0
2.801	1	1	1	5324.57	0
2.841	1	1	1	5324.57	0
2.881	1	1	1	5324.57	0
2.921	1	1	1	5324.57	0
2.961	1	1	1	5324.57	0
3.001	1	1	1	5324.57	0
3.041	1	1	1	5324.57	0
3.081	1	1	1	5324.57	0
3.121	1	1	1	5324.57	0
3.161	1	1	1	5324.57	0
3.201	1	1	1	5324.57	0
3.241	1	1	1	5324.57	0
3.281	1	1	1	5324.57	0
3.321	1	1	1	5324.57	0
3.361	1	1	1	5324.57	0
3.401	1	1	1	5324.57	0
3.441	1	1	1	5324.57	0
3.481	1	1	1	5324.57	0
3.521	1	1	1	5324.57	0
3.561	1	1	1	5324.57	0
3.601	1	1	1	5324.57	0
3.641	1	1	1	5324.57	0
3.681	1	1	1	5324.57	0
3.721	1	1	1	5324.57	0
3.761	1	1	1	5324.57	0
3.801	1	1	1	5324.57	0
3.841	1	1	1	5324.57	0
3.881	1	1	1	5324.57	0
3.921	1	1	1	5324.57	0
3.961	1	1	1	5324.57	0
